Scientific_Name,Common_Name,Threat_Status
Accipiter erythropus,Red-Thighed Sparrowhawk,LC
Accipiter poliogaster,Grey-Bellied Goshawk,NT
Accipiter striatus,Plain-Breasted Hawk,LC
Accipiter superciliosus,Tiny Hawk,LC
Agelasticus cyanopus,Unicoloured Blackbird,LC
Alectrurus tricolor,Cock-Tailed Tyrant,VU
Alipiopsitta xanthops,Yellow-Faced Amazon,NT
Amaurospiza moesta,Blackish-Blue Seedeater,LC
Amazona aestiva,Blue-Fronted Amazon,NT
Anabacerthia lichtensteini,,LC
Anhinga anhinga,American Darter,LC
Antilophia galeata,Helmeted Manakin,LC
Antrostomus rufus,Rufous Nightjar,LC
Anumara forbesi,,VU
Anumbius annumbi,Firewood-Gatherer,LC
Ara ararauna,Blue-And-Yellow Macaw,LC
Aramides cajaneus,Grey Necked Wood Rail,LC
Aramides ypecaha,Giant Wood-Rail,LC
Aramus guarauna,Limpkin,LC
Aratinga auricapillus,Golden Capped Parakeet,LC
Ardea alba,Great Egret,LC
Arremon flavirostris,Saffron-Billed Sparrow,LC
Arremon taciturnus,Pectoral Sparrow,LC
Asemospiza fuliginosa,,LC
Asio stygius,Stygian Owl,LC
Athene cunicularia,Burrowing Owl,LC
Augastes scutatus,Hyacinth Visorbearer,LC
Automolus leucophthalmus,White-Eyed Foliage-Gleaner,LC
Batara cinerea,Giant Antshrike,LC
Brotogeris tirica,Plain Parakeet,LC
Bubulcus ibis,Cattle Egret,LC
Buteo albonotatus,Zone-Tailed Hawk,LC
Buteo brachyurus,Short-Tailed Hawk,LC
Butorides striata,Green-Backed Heron,LC
Cacicus cela,Yellow-Rumped Cacique,LC
Cacicus solitarius,Solitary Cacique,LC
Cairina moschata,Muscovy Duck,LC
Calidris fuscicollis,White-Rumped Sandpiper,LC
Calliphlox amethystina,Amethyst Woodstar,LC
Campephilus melanoleucos,Crimson-Crested Woodpecker,LC
Camptostoma obsoletum,Southern Beardless Tyrannulet,LC
