Scientific_Name,Common_Name,Threat_Status
Accipiter bicolor,Bicoloured Hawk,LC
Actitis macularius,Spotted Sandpiper,LC
Alopochelidon fucata,Tawny Headed Swallow,LC
Amazona rhodocorytha,Red-Browed Amazon,VU
Amazona vinacea,Vinaceous Amazon,EN
Amazonetta brasiliensis,Brazilian Teal,LC
Ammodramus humeralis,Grassland Sparrow,LC
Anabazenops fuscus,White-Collared Foliage-Gleaner,LC
Anhima cornuta,Horned Screamer,LC
Anser anser,Greylag Goose,LC
Anthracothorax nigricollis,Black-Throated Mango,LC
Anthus hellmayri,Hellmayr Pipit,LC
Anthus lutescens,Yellowish Pipit,LC
Anthus nattereri,Ochre-Breasted Pipit,VU
Aramides saracura,Slaty-Breasted Wood-Rail,LC
Ardea cocoi,Cocoi Heron,LC
Arremon semitorquatus,Half-Collared Sparrow,LC
Arundinicola leucocephala,White-Headed Marsh-Tyrant,LC
Asio clamator,Striped Owl,LC
Asio flammeus,Short-Eared Owl,LC
Asthenes luizae,Cipo Canastero,NT
Asthenes moreirae,Itatiaia Spinetail,LC
Attila rufus,Grey-Hooded Attila,LC
Baryphthengus ruficapillus,Rufous-Capped Motmot,LC
Basileuterus culicivorus,Golden-Crowned Warbler,LC
Brotogeris chiriri,Yellow Chevroned Parakeet,LC
Bubo virginianus,Great Horned Owl,LC
Busarellus nigricollis,Black-Collared Hawk,LC
Buteogallus coronatus,,EN
Buteogallus meridionalis,Savanna Hawk,LC
Buteogallus urubitinga,Great Black-Hawk,LC
Cacicus haemorrhous,Red-Rumped Cacique,LC
Campephilus robustus,Robust Woodpecker,LC
Cantorchilus leucotis,Buff Breasted Wren,LC
Cantorchilus longirostris,Long Billed Wren,LC
Capsiempis flaveola,Yellow Tyrannulet,LC
Cariama cristata,Red-Legged Seriema,LC
Carpornis cucullata,Hooded Berryeater,NT
Casiornis rufus,Rufous Casiornis,LC
Cathartes aura,Turkey Vulture,LC
Celeus flavescens,Blond-Crested Woodpecker,LC
Chaetura vauxi,Vaux Swift,LC
Chamaeza campanisona,Short-Tailed Antthrush,LC
Chamaeza meruloides,Cryptic Antthrush,LC
Charadrius collaris,Collared Plover,LC
Chionomesa fimbriata,,LC
Chloroceryle amazona,Amazon Kingfisher,LC
Chlorophonia cyanea,Blue-Naped Chlorophonia,LC
Chlorostilbon lucidus,Glittering-Bellied Emerald,LC
Chordeiles pusillus,Least Nighthawk,LC
Chrysolampis mosquitus,Ruby-Topaz Hummingbird,LC
Chrysomus ruficapillus,Chestnut-Capped Blackbird,LC
Chrysuronia versicolor,,LC
Cinclodes pabsti,Long-Tailed Cinclodes,NT
Claravis godefrida,Purple-Barred Ground-Dove,LC
Claravis pretiosa,Blue Ground-Dove,LC
Coccyzus euleri,Pearly-Breasted Cuckoo,LC
Coccyzus melacoryphus,Dark-Billed Cuckoo,LC
Cochlearius cochlearius,Boat-Billed Heron,LC
Colaptes melanochloros,Green-Barred Flicker,LC
Colibri serrirostris,White-Vented Violet-Ear,LC
Columbina minuta,Plain-Breasted Ground-Dove,LC
Columbina picui,Picui Dove,LC
Conirostrum speciosum,Chestnut-Vented Conebill,LC
Coryphospingus pileatus,Pileated Finch,LC
Cranioleuca pallida,Pallid Spinetail,LC
Cranioleuca vulpina,Coiba Spinetail,LC
Crax blumenbachii,Red-Billed Curassow,EN
Crotophaga ani,Smooth-Billed Ani,LC
Crypturellus obsoletus,Brown Tinamou,LC
Crypturellus soui,Little Tinamou,LC
Crypturellus tataupa,Tataupa Tinamou,LC
