Scientific_Name,Common Name,Whitelisted_Brazil,BirdNET,Custom_Model,Perch,Max,Threat Status,Image_URL,Attribution,Custom_MaxConf,Perch_MaxConf,Overall_MaxConf
Rhea americana,Greater Rhea,1,17,31,2,31,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/68235230/medium.jpeg,(c) Martin Arregui; some rights reserved (CC BY-NC); uploaded by Martin Arregui,0.2674,0.6691,0.6691
Crypturellus obsoletus,Brown Tinamou,1,44,26,53,53,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/86359703/medium.jpg,(c) Juan Diego Döke; some rights reserved (CC BY-NC); uploaded by Juan Diego Döke,0.1223,0.3448,0.3448
Crypturellus tataupa,Tataupa Tinamou,1,59,1,1,59,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/173079358/medium.jpeg,(c) Jeanne Martins Nascimento; some rights reserved (CC BY-NC); uploaded by Jeanne Martins Nascimento,0.2987,0.7555,0.7555
Tinamus solitarius,Solitary Tinamou,1,50,7,2,50,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/102104769/medium.jpg,(c) Norton Santos; some rights reserved (CC BY-NC); uploaded by Norton Santos,0.264,0.479,0.479
Nothura minor,Lesser Nothura,1,4,60,30,60,VU,https://inaturalist-open-data.s3.amazonaws.com/photos/176299395/medium.jpeg,(c) Luiz Alberto Santos; some rights reserved (CC BY-NC); uploaded by Luiz Alberto Santos,0.4369,0.3086,0.4369
Rhynchotus rufescens,Red-Winged Tinamou,1,26,1,37,37,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/250893336/medium.jpg,(c) Antonino Gonçalves Medina; some rights reserved (CC BY-NC); uploaded by Antonino Gonçalves Medina,0.7023,0.3084,0.7023
Crypturellus noctivagus,Yellow-Legged Tinamou,1,13,6,2,13,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/252194486/medium.jpeg,(c) Hector Bottai; some rights reserved (CC BY-SA),0.894,0.3849,0.894
Nothura maculosa,Spotted Nothura,1,6,18,50,50,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/103997991/medium.jpeg,(c) Diego Caballero; some rights reserved (CC BY-NC); uploaded by Diego Caballero,0.1936,0.7917,0.7917
Crypturellus parvirostris,Small-Billed Tinamou,1,5,55,39,55,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/648114/medium.jpg,(c) Cláudio Dias Timm; some rights reserved (CC BY-NC-SA),0.533,0.6284,0.6284
Crypturellus soui,Little Tinamou,1,8,17,5,17,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/582371550/medium.jpg,(c) Santi MD; some rights reserved (CC BY-NC); uploaded by Santi MD,0.2311,0.2304,0.2311
Anhima cornuta,Horned Screamer,1,4,1,21,21,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/182458133/medium.jpg,(c) Lilian Tomazelli; some rights reserved (CC BY-NC); uploaded by Lilian Tomazelli,0.1188,0.7415,0.7415
Sarkidiornis melanotos,Comb Duck,,7,2,9,9,LC,https://static.inaturalist.org/photos/299783983/medium.jpg,(c) Asrat Ayalew Gella; all rights reserved; uploaded by Asrat Ayalew Gella,0.6358,0.5995,0.6358
Nomonyx dominicus,Masked Duck,1,40,11,26,40,LC,https://static.inaturalist.org/photos/359708230/medium.jpg,(c) Javier Gautier; all rights reserved; uploaded by Javier Gautier,0.3776,0.2571,0.3776
Anser anser,Greylag Goose,,140,25,28,140,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/61334030/medium.jpg,(c) Frans Vandewalle; some rights reserved (CC BY-NC),0.8204,0.1058,0.8204
Amazonetta brasiliensis,Brazilian Teal,1,15,20,26,26,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/247800710/medium.jpg,(c) Dario Sanches; some rights reserved (CC BY-SA),0.5006,0.2836,0.5006
Mergus octosetaceus,Brazilian Merganser,1,33,388,30,388,CR,https://inaturalist-open-data.s3.amazonaws.com/photos/550377735/medium.jpg,(c) Luiz Alberto Santos; some rights reserved (CC BY-NC); uploaded by Luiz Alberto Santos,0.6135,0.7321,0.7321
Cairina moschata,Muscovy Duck,1,30,36,20,36,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/54389963/medium.jpg,(c) Bernard DUPONT; some rights reserved (CC BY-SA),0.2582,0.8072,0.8072
Netta erythrophthalma,Southern Pochard,1,36,8,15,36,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/65463809/medium.jpg,(c) Derek Keats; some rights reserved (CC BY),0.5821,0.2072,0.5821
Dendrocygna viduata,White-Faced Whistling Duck,1,12,32,43,43,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/30515510/medium.jpeg,(c) Bird Explorers; some rights reserved (CC BY-NC); uploaded by Bird Explorers,0.7734,0.3996,0.7734
Dendrocygna autumnalis,Black-Bellied Whistling-Duck,1,3,21,23,23,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/411123026/medium.jpg,(c) cello caruso-turiello; some rights reserved (CC BY); uploaded by cello caruso-turiello,0.2146,0.22,0.22
Crax blumenbachii,Red-Billed Curassow,1,54,7,45,54,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/337948191/medium.jpg,(c) Nereston (Nelinho) Camargo; some rights reserved (CC BY-NC); uploaded by Nereston (Nelinho) Camargo,0.4968,0.8283,0.8283
Penelope superciliaris,Rusty-Margined Guan,1,1,2,16,16,NT,https://inaturalist-open-data.s3.amazonaws.com/photos/32133738/medium.jpeg,(c) Heitor Fagundes Beloch; some rights reserved (CC BY-NC); uploaded by Heitor Fagundes Beloch,0.8172,0.6102,0.8172
Penelope obscura,Dusky-Legged Guan,1,1,13,15,15,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/254236224/medium.jpg,(c) Claudio Martins de Souza; some rights reserved (CC BY-NC); uploaded by Claudio Martins de Souza,0.7213,0.5027,0.7213
Pipile jacutinga,Black Fronted Piping Guan,1,11,5,45,45,EN,https://inaturalist-open-data.s3.amazonaws.com/photos/243789945/medium.jpg,no rights reserved; uploaded by Hugo Hulsberg,0.1024,0.6416,0.6416
Odontophorus capueira,Spot-Winged Wood-Quail,1,48,48,6,48,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/5901057/medium.jpg,(c) fabiomanfredini; some rights reserved (CC BY-NC); uploaded by fabiomanfredini,0.7845,0.4028,0.7845
Tachybaptus dominicus,Short-Billed Grebe,1,35,48,25,48,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/181506813/medium.jpg,(c) Ad Konings; some rights reserved (CC BY-NC); uploaded by Ad Konings,0.3804,0.2212,0.3804
Podilymbus podiceps,Pied-Billed Grebe,1,332,367,1,367,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/117828251/medium.jpg,(c) Ad Konings; some rights reserved (CC BY-NC); uploaded by Ad Konings,0.1839,0.3722,0.3722
Jabiru mycteria,Jabiru,1,218,4,21,218,LC,https://inaturalist-open-data.s3.amazonaws.com/photos/263745861/medium.jpg,(c) Alastair Rae; some rights reserved (CC BY-SA),0.1642,0.4645,0.4645
Mycteria americana,Wood Stork,1,13,24,8,24,LC,https://static.inaturalist.org/photos/108641164/medium.jpg,(c) Jeff Stauffer; all rights reserved; uploaded by Jeff Stauffer,0.8101,0.2238,0.8101
